rank	kind	score	domain	title	region	protocol	freshness	auth	reuse_pattern	score_src	path
113	new	15	air-quality	PurpleAir Real-Time Air Quality Sensors	Global (dense coverage in US Pacific Northwest / Puget Sound)	REST	Real-time (2-minute sensor intervals)	API Key (free registration at develop.purpleair.com)		explicit	tools/candidates/air-quality/purpleair-sensors.md
114	new	15	air-quality	Qatar Air Quality (Open-Meteo Copernicus CAMS)	Qatar (Doha)	REST / JSON	Hourly updates (CAMS model output)	None		explicit	tools/candidates/air-quality/qa-doha-air-quality-openmeteo.md
115	new	15	aviation	ADS-B Exchange	Global	REST	Real-time (~1-second update intervals)	API Key (paid tiers), RapidAPI integration		total	tools/candidates/aviation/adsb-exchange.md
116	new	15	aviation	EUROCONTROL B2B Services	Europe (ECAC member states)	SOAP / REST (NM B2B Web Services)	Real-time (streaming and request/reply)	Certificate-based authentication (organizational registration)		total	tools/candidates/aviation/eurocontrol-b2b.md
117	new	15	aviation	FAA SWIM (System Wide Information Management)	United States (National Airspace System)	JMS / SOLACE / SFTP	Real-time (streaming)	Registration required (US-only, government vetting)		total	tools/candidates/aviation/faa-swim.md
118	new	15	aviation	IVAO Whazzup Tracker API	Global (virtual aviation network)	REST (JSON)	Real-time (~15-30 second refresh)	None for whazzup feed (OAuth2 available for member APIs)		total	tools/candidates/aviation/ivao.md
119	new	15	citizen-sensors	PurpleAir	Global (strongest in North America)	REST	~2 minutes (sensors report every 2 minutes)	API Key required (free, from https://develop.purpleair.com)		total	tools/candidates/citizen-sensors/purpleair.md
120	new	15	citizen-sensors	Smart Citizen	Global (origin: Barcelona, Catalonia)	REST (JSON)	Varies by device — active devices report every 1-5 minutes	None (read), OAuth2 (write)		total	tools/candidates/citizen-sensors/smart-citizen.md
121	new	15	disaster-alerts	EM-DAT International Disaster Database	Global	GraphQL	Continuous (as disaster events are recorded/updated)	Likely required for full access (free tier available)		total	tools/candidates/disaster-alerts/emdat.md
122	new	15	emergencies	Copernicus Emergency Management Service (CEMS) Rapid Mapping Activation Feed	Global (on-demand activations)	RSS 2.0 / Atom	Real-time (activations published within hours of disaster)	None		explicit	tools/candidates/emergencies/esa-cems-rapid-mapping.md
123	new	15	energy	Electricity Maps API	Global (~200 zones across 70+ countries)	REST	~5 minutes (real-time), hourly (historical)	API Key (free tier available, commercial tiers for production)		total	tools/candidates/energy/electricity-maps.md
124	new	15	energy	Ember — Global Electricity Data	Global (200+ countries)	REST / bulk downloads	Monthly (generation), annual (capacity and emissions)	API key for programmatic access (data explorer is free)		total	tools/candidates/energy/ember-climate.md
125	new	15	energy	Fingrid Open Data (Finland)	Finland	REST	3 minutes (real-time), hourly (forecasts)	API Key (free registration required)		total	tools/candidates/energy/fingrid.md
126	new	15	energy	KEPCO — Korea Electric Power Corporation (South Korea)	South Korea	REST	5 minutes (real-time), hourly (prices)	API key (free registration, Korean portal)		total	tools/candidates/energy/kepco-kpx.md
127	new	15	energy	NYISO (New York ISO)	New York State, United States	HTTP file download (CSV/XML)	5 minutes (real-time prices), hourly (load)	None (public data)		total	tools/candidates/energy/nyiso.md
128	new	15	energy	WattTime Marginal Emissions API	Global (US regions, Canada, Europe, Australia, India, others)	REST	5 minutes	HTTP Basic Auth for token, then Bearer token for data (free tier available)		total	tools/candidates/energy/watttime.md
129	new	15	ev-charging	Bundesnetzagentur Ladesäulenregister	Germany	HTTPS pull of CSV files via Mobilithek/NOW offer	Mobilithek metadata declares continuous publication; exact operational cadence needs longer observation	None for the published CSV files		total	tools/candidates/ev-charging/bundesnetzagentur-ladesaeulen.md
130	new	15	ev-charging	Eco-Movement — EV Charging Data Platform	Global (60+ countries, strongest in Europe)	REST API	Real-time (millisecond-level dynamic updates)	Commercial API key (paid)		total	tools/candidates/ev-charging/eco-movement.md
131	new	15	ev-charging	Gireve — European EV Charging Roaming Platform	Europe (primary), expanding globally	OCPI v2.2 / eMIP (eMobility Inter-Operation Protocol)	Real-time (push-based via roaming protocols)	Commercial B2B agreement required		total	tools/candidates/ev-charging/gireve.md
132	new	15	ev-charging	Hubject — OICP Roaming Platform	Global (Europe-centric, expanding to Asia-Pacific and Americas)	OICP (Open InterCharge Protocol)	Real-time (push-based via OICP)	Commercial B2B agreement required		total	tools/candidates/ev-charging/hubject-oicp.md
133	new	15	ev-charging	Korea Environment Corporation — EV Charging Open Data	South Korea	REST (Korean Open Data Portal API)	Near real-time (status updates as chargers report)	API Key (free registration on data.go.kr)		total	tools/candidates/ev-charging/korea-environment-corporation.md
134	new	15	geomagnetic	SuperMAG — Global Ground Magnetometer Network				Free registration required. Username passed as query parameter.		total	tools/candidates/geomagnetic/supermag.md
135	new	15	hydrology	Brazil — ANA Telemetria	Brazil (nationwide)	SOAP / REST (HTTP GET with query parameters returning XML)	Sub-hourly (telemetric stations transmit at varying intervals)	None		total	tools/candidates/hydrology/brazil-ana-telemetria.md
136	new	15	hydrology	Copernicus CDS River Discharge / EFAS	Europe (EFAS), Global (CDS)	REST (STAC catalogue) + OGC Processes (data retrieval)	6-hourly (EFAS), daily (seasonal forecasts)	CDS account + API key (free registration)		total	tools/candidates/hydrology/copernicus-cds-efas.md
137	new	15	hydrology	Copernicus GloFAS (Global Flood Awareness System)	Global	REST (STAC / OGC Processes)	Daily (forecasts), Monthly (reanalysis updates)	CDS account + API key (free registration)		total	tools/candidates/hydrology/copernicus-glofas.md
138	new	15	hydrology	Lithuania LHMT Hydro API	Lithuania	REST	Hourly	None		total	tools/candidates/hydrology/lithuania-lhmt-hydro.md
139	new	15	hydrology	NASA/CNES SWOT (Surface Water and Ocean Topography Mission)	Global oceans + large lakes/rivers	OPeNDAP, HTTPS, S3 (AWS Open Data), STAC (experimental)	Near-real-time (~6-12 hours for NRT products, ~2-3 days for science products)	None for PO.DAAC (NASA Earthdata login optional for bulk), AVISO+ requires registration		explicit	tools/candidates/hydrology/spaceother-swot-nasa-cnes.md
140	new	15	hydrology	New Zealand — Regional Council Hilltop Servers	New Zealand	REST (Hilltop Server protocol)	Every 5 minutes (telemetered stations)	None		total	tools/candidates/hydrology/newzealand-hilltop.md
141	new	15	hydrology	Thailand National Hydroinformatics (Thaiwater)	Thailand	REST	Hourly (water levels), Daily (dam data)	None		total	tools/candidates/hydrology/thailand-thaiwater.md
142	new	15	lightning	Vaisala GLD360 / NLDN (Commercial Lightning Detection)	Global (GLD360) / United States (NLDN)	Proprietary commercial feed	Real-time	Commercial license/subscription		total	tools/candidates/lightning/vaisala-gld360-nldn.md
143	new	15	maritime-ais	Spire Maritime / Kpler AIS 2.0	Global (HQ: San Francisco / Paris)	GraphQL (single endpoint)	Real-time (satellite + terrestrial AIS)	Bearer token (commercial subscription required)		total	tools/candidates/maritime-ais/spire-kpler-maritime.md
144	new	15	parking	TfL Car Parks (London)	UK — London	REST	Near real-time (occupancy via /Occupancy/CarPark)	None required (optional API key for higher rate limits)		total	tools/candidates/parking/tfl-carparks-london.md
145	new	15	radiation	EPA RadNet	United States (all 50 states + Puerto Rico)	REST (CSV download)	Hourly (near-real-time, updated several times daily from mirror server)	None		total	tools/candidates/radiation/epa-radnet.md
146	new	15	radio-propagation	GIRO — Global Ionospheric Radio Observatory	Global (ionosonde stations worldwide)	REST (text/CSV), SAO Explorer (Java app)	5-15 minutes (ionosonde sounding cadence)	None		total	tools/candidates/radio-propagation/giro-ionosonde.md
147	new	15	radio-propagation	PSKReporter	Global	REST (XML/JSON) + WebSocket (real-time)	Real-time (reports arrive within seconds of reception)	None for basic queries; API key for higher rate limits		total	tools/candidates/radio-propagation/pskreporter.md
148	new	15	radio-propagation	Reverse Beacon Network	Global (ham radio operators, primarily NA/EU)	Telnet (DX Cluster protocol), Web scraping	Real-time (continuous stream, spots every few seconds)	Callsign (Telnet), None (web)		total	tools/candidates/radio-propagation/reverse-beacon-network.md
149	new	15	radio-propagation	WSPRnet (Weak Signal Propagation Reporter Network)	Global	HTTP (web query, CSV/JSON download)	Every 2 minutes (WSPR transmission cycle)	None (read access)		total	tools/candidates/radio-propagation/wsprnet.md
150	new	15	reservoir-dam	US Bureau of Reclamation — HydroData	United States (Western states — Upper/Lower Colorado, Columbia, Missouri, Klamath basins)	REST (static JSON/CSV files served via structured URL paths)	Real-time to daily (depending on station and parameter)	None		total	tools/candidates/reservoir-dam/usbr-hydrodata.md
151	new	15	snow-avalanche	SLF Swiss Avalanche Bulletins	Switzerland	REST / CAAML (XML)	Twice daily (5 PM and 8 AM during winter season)	None (public bulletin) / WhiteRisk app		total	tools/candidates/snow-avalanche/slf-avalanche.md
152	new	15	space-orbital	Minor Planet Center	Global	HTTP (text files), some REST endpoints	Daily (orbital elements); alerts within hours of discovery	None		total	tools/candidates/space-orbital/minor-planet-center.md
153	new	15	space-orbital	NASA GCN (General Coordinates Network)	Global	Kafka (Apache Kafka over TLS)	Event-driven (alerts within seconds of detection)	OAuth2 client credentials (free registration at gcn.nasa.gov)		total	tools/candidates/space-orbital/nasa-gcn.md
154	new	15	space-weather	NOAA 10.7cm Solar Radio Flux	USA / Global (ground + satellite-based)	REST (JSON)	3x daily (morning, noon, afternoon observations)	None		explicit	tools/candidates/space-weather/noaasat-f107-solar-flux.md
155	new	15	volcanic	VAAC Volcanic Ash Advisories (Washington VAAC / NOAA)	Global (9 VAACs worldwide; Washington VAAC covers Americas)	HTTP (HTML pages + individual XML/KML files)	As needed — every 6 hours during active ash events, more frequently for significant eruptions	None		total	tools/candidates/volcanic/vaac-ash-advisories.md
156	new	15	water-quality	NEON — National Ecological Observatory Network Water Quality	USA (34 aquatic sites across 20 ecoclimatic domains)	REST API (JSON)	Continuous in-situ sensors (1-min for streams, 5-min for lakes/rivers); data released monthly	Optional API token for higher rate limits (free registration)		total	tools/candidates/water-quality/neon-water-quality.md
157	new	15	weather	Argentina SMN (Servicio Meteorológico Nacional)	Argentina	REST (JSON)	Real-time observations (synoptic schedule)	None (public endpoints)		total	tools/candidates/weather/smn-argentina.md
158	new	15	weather	INMET Brazil — Weather Observation Network (Expanded)	Brazil (national)	REST (JSON)	Hourly (observations), daily (forecasts)	None (some endpoints may require token)		total	tools/candidates/weather/inmet-brazil-expanded.md
159	new	15	weather	Israel Meteorological Service (IMS) — Real-Time Observations	Israel	HTTP file polling (XML)	10-minute intervals (6 observations per hour per station)	None (anonymous access)		total	tools/candidates/weather/israel-ims.md
160	new	15	weather	KNMI Data Platform	Netherlands	REST (file-based API)	10-minute observations, hourly, daily — depending on dataset	API Key (anonymous key available, registered key recommended)		total	tools/candidates/weather/knmi.md
161	new	15	weather	Open-Meteo — Open-Source Weather API	Global (aggregates multiple national model outputs)	REST API	Hourly updates (model-dependent), 15-minute resolution available	None for non-commercial use (API key for commercial use at >10,000 req/day)		total	tools/candidates/weather/open-meteo.md
162	new	15	wikimedia-osm	Overpass Augmented Diffs	Global	HTTP (XML response)	~1 minute (follows OSM minutely replication)	None		total	tools/candidates/wikimedia-osm/overpass-augmented-diffs.md
163	new	15	wildfire	EFFIS / GWIS (European Forest Fire Information System / Global Wildfire Information System)	Europe, Middle East, North Africa (EFFIS) / Global (GWIS)	OGC WFS / WMS	Daily (active fires/burnt areas updated from MODIS/VIIRS)	None		total	tools/candidates/wildfire/effis-gwis.md
164	new	15	wildfire	EUMETSAT LSA SAF Fire Radiative Power (FRP)	Europe, Africa, Middle East (MSG disk), Global (Metop swaths)	FTP (HDF5, NetCDF), WMS, REST (in development)	15 minutes (MSG FRP-GRID), 3 hours (Metop swaths), daily (FRP accumulation)	Free registration for FTP, WMS open		explicit	tools/candidates/wildfire/eumetsat-lsa-saf-frp.md
165	new	14	air-quality	ESA Sentinel-5P TROPOMI Near-Real-Time Air Quality	Global	OData / STAC API	3-hour latency (NRT products)	CDSE OAuth (free registration)	GTFS-RT/SIRI (transit)	explicit	tools/candidates/air-quality/esa-sentinel5p-tropomi-nrt.md
166	new	14	air-quality	PurpleAir	Global (concentrated in North America)	REST	Real-time (~2 minutes per sensor)	API Key (free registration at develop.purpleair.com; read and write keys)	OpenAQ (air quality)	total	tools/candidates/air-quality/purpleair.md
167	new	14	citizen-sensors	openSenseMap	Global (strongest in Germany/Europe)	REST	Continuous (sensor-dependent, typically 1-10 minutes)	None (read access)	GeoJSON REST (poller)	total	tools/candidates/citizen-sensors/opensensemap.md
168	new	14	coral-marine	AIMS Reef Monitoring (Australian Institute of Marine Science)	Australia (Great Barrier Reef and tropical waters)	REST / ERDDAP	Near real-time (weather stations), periodic (reef surveys)	API Key (free registration)	ERDDAP/THREDDS (ocean grid)	total	tools/candidates/coral-marine/aims-reef-monitoring.md
169	new	14	disaster-alerts	ACLED — Armed Conflict Location & Event Data (Africa)	Pan-African (all 54 countries, most detailed coverage globally)	REST	Weekly updates (events coded within 1–2 weeks of occurrence)	API key + email (free registration)	GeoJSON REST (poller)	explicit	tools/candidates/disaster-alerts/acled-africa-conflict.md
170	new	14	hydrology	Denmark DMI Meteorological Observations API	Denmark	REST (OGC API Features-style)	10-minute observations	API key required (free registration)	GeoJSON REST (poller)	total	tools/candidates/hydrology/denmark-dmi-metobs.md
171	new	14	hydrology	EUMETSAT H SAF Precipitation Products	Europe, Africa, Mediterranean, Atlantic (MSG/Metop coverage)	FTP, NetCDF/GRIB download, WMS (visualization)	15-minute (MSG-based), hourly, 3-hourly, daily accumulations	Free registration required (username/password for FTP)	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/hydrology/eumetsat-h-saf-precipitation.md
172	new	14	imagery	Digital Earth Australia (DEA) - Geoscience Australia	Australia	STAC 1.1.0, WMS, WCS, OGC API	Days to weeks (Landsat/Sentinel-2 ARD ~3-7d, Water Observations ~weekly, derived products monthly-annual)	None (fully open)	GeoJSON REST (poller)	explicit	tools/candidates/imagery/spaceother-dea-australia-stac.md
173	new	14	maritime-ais	ASAM — Anti-Shipping Activity Messages (African Waters)	Pan-African maritime (Gulf of Guinea, Horn of Africa/Gulf of Aden, Mozambique Channel, Red Sea)	ArcGIS REST API	Updated as reports come in (near real-time during active incidents)	None	ArcGIS FeatureServer (poller)	explicit	tools/candidates/maritime-ais/asam-africa-piracy.md
174	new	14	seismology	IGP Peru — Instituto Geofísico del Perú				None. Anonymous access.	FDSN/QuakeML (seismology)	total	tools/candidates/seismology/igp-peru.md
175	new	14	transit	Navitia — Open Journey Planner with Real-Time	Global (primary coverage: France, Switzerland, Brazil, and 20+ regions)	REST/JSON (HAL-style hypermedia)	Real-time — integrates GTFS-RT and SIRI feeds from participating agencies	API key required (free tier: 90 days trial with 5,000 req/day)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/navitia.md
176	new	14	transit	NS (Nederlandse Spoorwegen) — Dutch Railways API	Netherlands	REST (JSON)	Real-time — live departures, disruptions updated continuously	API Key (free registration, subscription required)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/ns-dutch-rail.md
177	new	14	transit	Singapore LTA DataMall	Singapore	REST/JSON (OData-style)	Real-time — bus arrivals update every ~60 s; train disruptions near real-time	API key required (free registration via MyTransport DataMall)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/singapore-lta.md
178	new	14	wildfire	Digital Earth Australia Hotspots (DEA Hotspots)	Australia	OGC WFS 1.1.0	Multiple times daily (each satellite pass)	None	GeoJSON REST (poller)	total	tools/candidates/wildfire/dea-hotspots-australia.md
179	new	14	wildfire	Fogos.pt — Portugal Community Fire Tracker	Portugal	REST	Near real-time (sourced from ANEPC civil protection data)	Currently none; transitioning to token-based authentication	ArcGIS FeatureServer (poller)	total	tools/candidates/wildfire/fogos-pt-portugal.md
180	new	14	wildfire	INPE Queimadas BDQueimadas — Fire Hotspot Database (API)	Brazil (national; all biomes) + South America	REST / WFS	Multiple times daily (satellite passes)	None	GeoJSON REST (poller)	total	tools/candidates/wildfire/inpe-bdqueimadas-wfs.md
181	new	14	wildfire	WA Ecology Smoke Forecast	US — Washington State	REST (ArcGIS FeatureServer)	Updated multiple times daily during fire season; daily or less outside fire season	None	ArcGIS FeatureServer (poller)	explicit	tools/candidates/wildfire/wa-ecology-smoke-forecast.md
182	new	14	air-quality	India CPCB Air Quality via data.gov.in API	India	REST (JSON)	Hourly (aligned with CAAQMS station reporting)	API Key (free registration at data.gov.in)		total	tools/candidates/air-quality/india-cpcb-datagov.md
183	new	14	air-quality	NASA TEMPO (Tropospheric Emissions Monitoring of POllution) Hourly Air Quality	North America (Mexico City to central Canada, Atlantic to Pacific)	HTTPS file download (NetCDF-4)	~2 hours from observation	Earthdata Login (free registration)		explicit	tools/candidates/air-quality/nasa-tempo.md
184	new	14	air-quality	NOAA Global Monitoring Laboratory (GML) — Greenhouse Gases	Global	HTTP file distribution	Monthly (trends), hourly/daily (individual stations)	None		total	tools/candidates/air-quality/noaa-gml-greenhouse.md
185	new	14	aviation	NOAA Aviation Weather - Iraq Airport METARs	Iraq	HTTP REST API	Hourly (standard METAR frequency), some airports report every 30 minutes	None		explicit	tools/candidates/aviation/iq-noaa-metar-airports.md
186	new	14	citizen-sensors	India data.gov.in — Real-Time Commodity Market Prices (Mandi)	India	REST (JSON)	Daily (market prices updated as mandis report)	API Key (free registration at data.gov.in)		total	tools/candidates/citizen-sensors/india-mandi-commodity-prices.md
187	new	14	coral-marine	Qatar Marine Conditions (Open-Meteo Copernicus Marine)	Qatar (Persian Gulf)	REST / JSON	Current block updates every ~15 minutes; hourly forecasts	None		explicit	tools/candidates/coral-marine/qa-persian-gulf-marine-openmeteo.md
188	new	14	disaster-alerts	Copernicus Emergency Management Service (EMS) Rapid Mapping	Global (EU-focused activation)	Web portal (no REST API discovered)	Per-activation (hours to days after disaster event)	None for public portal		total	tools/candidates/disaster-alerts/copernicus-ems.md
189	new	14	disaster-alerts	EFAS (European Flood Awareness System)	Europe	REST / WMS / CDS API	Twice daily (forecasts), real-time (flash flood notifications)	ECMWF/CDS account required		total	tools/candidates/disaster-alerts/efas.md
190	new	14	disaster-alerts	OCHA ReliefWeb API — African Humanitarian Alerts	Pan-African	REST	Daily (new reports published continuously)	None (appname parameter recommended)		explicit	tools/candidates/disaster-alerts/reliefweb-africa.md
191	new	14	energy	AESO — Alberta Electric System Operator (Canada)	Alberta, Canada	REST	1 minute (real-time merit order), hourly (pool price)	API key (free registration at AESO developer portal)		total	tools/candidates/energy/aeso-alberta.md
192	new	14	energy	CAISO OASIS (California ISO)	California and parts of western US	REST (parameterized ZIP/XML download)	5-minute intervals (real-time market), hourly (day-ahead)	None for public data (account required for some reports)		total	tools/candidates/energy/caiso-oasis.md
193	new	14	energy	EirGrid / SONI Smart Grid Dashboard (Ireland)	Ireland and Northern Ireland (All-Island)	REST (WCF Data Service)	15 minutes	None		total	tools/candidates/energy/eirgrid-smartgrid.md
194	new	14	energy	ERCOT (Electric Reliability Council of Texas)	Texas, United States	HTTP file download + JSON listing endpoint	5 minutes (real-time), 15 minutes (system-wide), hourly (prices)	None for public data (some feeds require market participant account)		total	tools/candidates/energy/ercot.md
195	new	14	energy	GridStatus.io (US Grid Data Aggregator)	United States (all major ISOs)	REST	5 minutes (real-time from ISOs)	API key (free tier with limits, paid plans for production)		total	tools/candidates/energy/gridstatus-io.md
196	new	14	energy	IESO (Independent Electricity System Operator — Ontario)	Ontario, Canada	HTTP file download (XML reports)	5 minutes to hourly (varies by report)	None (fully public)		total	tools/candidates/energy/ieso-ontario.md
197	new	14	energy	PJM Data Miner 2	Eastern US (13 states + DC — Pennsylvania, New Jersey, Maryland, Virginia, Ohio, etc.)	REST (Data Miner 2 API)	Hourly to daily (varies by feed)	Free pjm.com account for API queries (manual download without account)		total	tools/candidates/energy/pjm-data-miner.md
198	new	14	energy	SMARD — Strommarktdaten (Bundesnetzagentur, Germany)	Germany (also DE-LU bidding zone)	REST (static JSON files)	15 minutes (quarter-hourly) to hourly	None		total	tools/candidates/energy/smard-de.md
199	new	14	food-security	FEWS NET Famine Early Warning Data API	Sub-Saharan Africa (plus Central America, Central Asia, Haiti)	REST (Django REST Framework)	Weekly to monthly updates (market prices weekly, IPC classifications quarterly)	None		explicit	tools/candidates/food-security/fewsnet-food-prices.md
200	new	14	geomagnetic	FMI — Finnish Meteorological Institute Open Data				API key required (free registration at https://ilmatieteenlaitos.fi/avoin-data).		total	tools/candidates/geomagnetic/fmi-finland-geomag.md
201	new	14	hydrology	Taiwan Water Resources Agency (WRA)	Taiwan	REST (OData-style query parameters)	Daily (reservoir), Station metadata is reference data	None		total	tools/candidates/hydrology/taiwan-wra.md
202	new	14	imagery	JAXA Himawari-8/9 AHI Full Disk Imagery (AWS Mirror)	Japan / Asia-Pacific (full disk coverage 60°S-60°N, 80°E-160°W)	HTTP (S3 REST), no auth	10 minutes (full disk), 2.5 minutes (regional)	None		explicit	tools/candidates/imagery/jaxa-himawari-aws.md
203	new	14	imagery	USGS Landsat Collection 2 Near-Real-Time (NRT)	Global	STAC 1.0.0 (LandsatLook), JSON-RPC 2.0 (M2M)	Near-real-time (~12 hours for NRT Tier 1, 3-5 days for standard processing)	Free USGS EarthExplorer account for M2M, no auth for LandsatLook STAC		explicit	tools/candidates/imagery/spaceother-usgs-landsat-nrt.md
204	new	14	lightning	CLDN / GeoMet — Canadian Lightning Detection Network	Canada (+ 250 km buffer from borders)	OGC WMS 1.3.0	Every 10 minutes	None — fully open, anonymous access		total	tools/candidates/lightning/cldn-canada.md
205	new	14	noise	Dublin City Noise Monitoring (Sonitus)	Ireland (Dublin)	REST	Near real-time (continuous monitoring, typically 1-minute or 15-minute intervals)	API Key (via Smart Dublin registration)		total	tools/candidates/noise/dublin-noise.md
206	new	14	oceans	EUMETSAT OSI SAF ASCAT Ocean Surface Winds	Global oceans (ice-free waters, 50°N-50°S primary coverage)	FTP, REST API (Data Store with registration), BUFR, NetCDF	Near-real-time (~90 minutes from observation), 2x daily swath coverage per satellite	FTP anonymous, Data Store requires free EUMETSAT registration		explicit	tools/candidates/oceans/eumetsat-osi-saf-ascat-winds.md
207	new	14	power-outages	EskomSePush API (South Africa Loadshedding)	South Africa	REST	Real-time (loadshedding status updates within minutes)	API key (free tier: 50 requests/day)		explicit	tools/candidates/power-outages/eskomsepush-africa.md
208	new	14	power-outages	EskomSePush API (South Africa Loadshedding)	South Africa	REST/JSON	Real-time (loadshedding schedule changes propagate immediately)	API key (paid, via Gumroad)		total	tools/candidates/power-outages/eskomsepush.md
209	new	14	power-outages	Hydro-Québec Power Outages	Québec, Canada	Angular SPA backend (XHR/Fetch endpoints)	Near real-time (minutes)	None for public portal		total	tools/candidates/power-outages/hydro-quebec.md
210	new	14	radio-propagation	DX Cluster (Amateur Radio Spot Network)	Global	Telnet (legacy), WebSocket (modern aggregators), REST (aggregator APIs)	Real-time (spots appear within seconds)	Callsign required for Telnet login (any valid amateur callsign)		total	tools/candidates/radio-propagation/dx-cluster.md
211	new	14	reservoir-dam	Spanish SAIH (Sistema Automático de Información Hidrológica)	Spain (organized by river basin authorities)	Web portals; some provide WMS/WFS; no standardized REST API	Real-time (5–15 minute intervals for many stations)	Varies by basin (generally none for public data)		total	tools/candidates/reservoir-dam/spain-saih.md
212	new	14	space-orbital	Space-Track.org	Global	REST (session-based authentication)	Multiple times per day (as observations are processed)	Free account required (username/password)		total	tools/candidates/space-orbital/space-track.md
213	new	14	tidal-sea-level	IOC Sea Level Monitoring — African Tide Gauges	Pan-African coastal nations (South Africa, Mozambique, Kenya, Tanzania, Egypt, Morocco, Senegal, and more)	REST	Real-time (1–15 minute intervals depending on station)	None		explicit	tools/candidates/tidal-sea-level/ioc-africa-tide-gauges.md
214	new	14	transit	Hong Kong Transit Open Data — KMB, MTR, and More	Hong Kong SAR, China	REST/JSON	Real-time — ETAs update every 30–60 s	None — all endpoints are open, no API key required		total	tools/candidates/transit/hk-transit.md
215	new	14	transit	Seoul TOPIS — South Korea Transit Open Data	South Korea (Seoul Metropolitan Area)	REST/XML (Seoul Bus), REST/JSON or XML (Seoul Open API)	Real-time — bus positions every ~15 s; metro arrivals real-time	API key required (free registration at data.go.kr — Korean portal)		total	tools/candidates/transit/seoul-topis.md
216	new	14	volcanic	MAGMA Indonesia — PVMBG Volcanic Monitoring				API requires authentication (401 Unauthorized returned). Public website accessible.		total	tools/candidates/volcanic/magma-indonesia-pvmbg.md
217	new	14	water-quality	EEA Waterbase — WISE (Water Information System for Europe)	European Union / EEA member states (39 countries)	SQL-over-HTTP (Discodata/Dremio), file downloads	Annual reporting cycle (member states report to EEA under Water Framework Directive)	None		total	tools/candidates/water-quality/eea-waterbase.md
218	new	14	water-quality	EU Bathing Water Quality — European Environment Agency	EU/EEA member states (22,000+ bathing sites across ~30 countries)	SQL-over-HTTP (Discodata); file downloads	Annual (member states report by end of each bathing season)	None		total	tools/candidates/water-quality/eu-bathing-water.md
219	new	14	water-quality	Rijkswaterstaat Waterinfo — Netherlands Water Quality	Netherlands (national water system)	Web portal + undocumented REST API	Real-time (water levels, waves); periodic (water quality)	None for public web access		total	tools/candidates/water-quality/rijkswaterstaat-nl.md
220	new	14	weather	Colombia IDEAM Weather — via datos.gov.co Socrata API	Colombia (national)	REST (Socrata SODA 2.1)	Near-real-time (~minutes latency)	None (rate-limited without app token)		total	tools/candidates/weather/colombia-ideam-weather.md
221	new	14	weather	Copernicus Climate Data Store (CDS)	Global	REST API + Python client library (cdsapi)	Varies — ERA5 reanalysis ~5 days lag, some products near-real-time	Personal access token (free registration required)		total	tools/candidates/weather/copernicus-cds.md
222	new	14	weather	EUMETSAT Data Services	Europe and global (via geostationary and polar-orbiting satellites)	HTTPS file download, OGC WMS/WCS, EUMETView	5–15 minutes (Meteosat rapid scan), 1 hour (full disk), near-real-time	Registration required (free for most products)		total	tools/candidates/weather/eumetsat.md
223	new	14	weather	IMGW-PIB Open Data — Poland	Poland	REST (JSON)	Hourly (synoptic data), 10-minute (meteorological/hydro)	None (fully open, no API key required)		total	tools/candidates/weather/imgw-poland.md
224	new	14	weather	IPMA — Instituto Português do Mar e da Atmosfera	Portugal (including Azores and Madeira)	REST (static JSON files)	Multiple times daily (forecasts), hourly (observations)	None (fully open, no registration required)		total	tools/candidates/weather/ipma-portugal.md
225	new	14	weather	KMA API Hub — South Korea	South Korea	REST API	Real-time (observations), hourly (forecasts), per model run (NWP)	API Key (free registration required — Korean phone number may be needed)		total	tools/candidates/weather/kma-south-korea.md
226	new	14	weather	MeteoSwiss Open Data	Switzerland	HTTP file download (OGD portal), OGC API (via geo.admin.ch)	10-minute observations, hourly, daily	None (fully open as of 2024/2025 OGD mandate)		total	tools/candidates/weather/meteoswiss.md
227	new	14	weather	Qatar Hamad International Airport METAR	Qatar	REST / JSON	30-minute updates (on the hour and half-hour)	None		explicit	tools/candidates/weather/qa-hamad-airport-metar.md
228	new	14	weather	Qatar Weather Forecast (Open-Meteo)	Qatar (Doha)	REST / JSON	Current block updates every ~15 minutes; hourly forecasts updated hourly	None		explicit	tools/candidates/weather/qa-doha-weather-openmeteo.md
229	new	13	air-quality	AirQo — Kampala/Uganda Air Quality Network	Uganda (Kampala and expanding)	REST	Near real-time (hourly or better)	API key (free registration)	OpenAQ (air quality)	explicit	tools/candidates/air-quality/airqo-uganda.md
230	new	13	air-quality	AQICN / World Air Quality Index (WAQI)	Global	REST	Hourly to real-time (varies by source)	API Key (free token from aqicn.org/data-platform/token/)	OpenAQ (air quality)	total	tools/candidates/air-quality/aqicn-waqi.md
231	new	13	air-quality	Atmo France (French AASQA Air Quality Networks)	France	REST (ArcGIS Feature Services), various regional APIs	Hourly	Varies by AASQA (some open, some require registration)	ArcGIS FeatureServer (poller)	total	tools/candidates/air-quality/atmo-france.md
232	new	13	air-quality	EEA Up-to-Date Air Quality	Europe (EU/EEA member states)	REST (download service) / SOS (Sensor Observation Service)	Hourly (E1a up-to-date data)	None	OpenAQ (air quality)	total	tools/candidates/air-quality/eea-air-quality.md
